Id_INVAS_COMPLETO,Grupo,Orden filogenetico,familia,Nombre cientifico,Ambiente,Origen,Presencia,Estatus,Ficha,Instrumento legal,Enciclovida 2020,enciclovida_id
314INVAS,Insectos,12,Tephritidae,Anastrepha grandis,Terrestre,Exótica,Ausente,Invasora,,"LISTA DE PLAGAS BAJO VIGILANCIA, 2025",,290508
320INVAS,Insectos,12,Formicidae,Anoplolepis gracilipes,Terrestre,Exótica,Presente,Invasora,X,NOM-016-SEMARNAT-2013,,98974
337INVAS,Moluscos,13,Arionidae,Arion vulgaris,Terrestre,Exótica,Presente,,,,,290560
352INVAS,Otros invertebrados,15,Asteriidae,Asterias amurensis,Marino,Exótica,Ausente,Invasora,X,,,256953
383INVAS,Insectos,12,Tephritidae,Bactrocera carambolae,Terrestre,Exótica,Ausente,Invasora,,,,
386INVAS,Insectos,12,Tephritidae,Bactrocera cucurbitae,Terrestre,Exótica,Ausente,Invasora,,"LISTA DE PLAGAS BAJO VIGILANCIA, 2025",,
387INVAS,Insectos,12,Tephritidae,Bactrocera dorsalis,Terrestre,Exótica,Ausente,Invasora,,"NOM-010-FITO-1995, LISTA DE PLAGAS BAJO VIGILANCIA, 2025",,
392INVAS,Insectos,12,Tephritidae,Bactrocera latifrons,Terrestre,Exótica,Ausente,Invasora,,,,
393INVAS,Insectos,12,Tephritidae,Bactrocera minax,Terrestre,Exótica,Ausente,Invasora,,,,
395INVAS,Insectos,12,Tephritidae,Bactrocera oleae,Terrestre,Exótica,Presente,Invasora,,,,
397INVAS,Insectos,12,Tephritidae,Bactrocera passiflorae,Terrestre,Exótica,Ausente,Invasora,,,,
403INVAS,Insectos,12,Tephritidae,Bactrocera zonata,Terrestre,Exótica,Ausente,Invasora,,,,
404INVAS,Plantas,4,Poaceae,Bambusa bambos,Terrestre,Exótica,Presente,,,,,
405INVAS,Virus y bacterias,2,Nanoviridae,Babuvirus musae,Terrestre,Exótica,Ausente,Invasora,,Plagas bajo vigilancia Senasica 2025,,
409INVAS,Insectos,12,Aleyrodidae,Bemisia tabaci,Terrestre,Exótica,Presente,Invasora,X,Lista oficial invasoras México,,230023
436INVAS,Plantas,4,Poaceae,Bromus sterilis,Terrestre,Exótica,Ausente,Invasora,X,,,178175
463INVAS,Plantas,4,Cannabaceae,Cannabis sativa,Terrestre,Exótica,Presente,,,,,198792
468INVAS,Otros invertebrados,7,Clavulariidae,Carijoa riisei,Marino,Exótica,Presente,Invasora,X,,,45585
478INVAS,Insectos,12,Tephritidae,Ceratitis rosa,Terrestre,Exótica,Ausente,Invasora,,,,
485INVAS,Plantas,4,Rubiaceae,Cinchona pubescens,Terrestre,Exótica,Presente,,,,,166993
486INVAS,Plantas,4,Lauraceae,Cinnamomum verum,Terrestre,Exótica,Presente,,,,,201402
490INVAS,Virus y bacterias,2,Kitaviridae,Cilevirus leprosis,Terrestre,Exótica,Presente,Invasora,,Lista Plagas en Vigilancia Activa Senasica,,
491INVAS,Peces,16,Clariidae,Clarias gariepinus,Dulceacuícola,Exótica,Ausente,,,,,
500INVAS,Moluscos,13,Nassariidae,Anentome helena,Dulceacuícola,Exótica,Presente confinada,Invasora,,,,256961
502INVAS,Plantas,4,Lamiaceae,Clerodendrum chinense,Terrestre,Exótica,Presente,,,,,200323
512INVAS,Plantas,4,Commelinaceae,Commelina diffusa,Terrestre,Exótica,Presente,,,,,156763
514INVAS,Insectos,12,Curculionidae,Conotrachelus nenuphar,Terrestre,Exótica,Ausente,Invasora,,,,290518
