Nacional@0@8007975
Nacional@0@8007977
Nacional@0@8007978
Nacional@0@2002649
Nacional@0@2002644
Nacional@0@2002652
Nacional@0@2002648
Nacional@0@2002650
Nacional@0@2002645
Nacional@0@2002647
Nacional@0@2002653
Nacional@0@2002643
Nacional@0@2002646
Nacional@0@2002651
Nacional@0@4013306
Nacional@0@4013320
Nacional@0@4013675
Nacional@0@2002144
Nacional@0@2002145
Nacional@0@2002146
Nacional@0@2002147
Nacional@0@2002148
Nacional@0@4013170
Nacional@0@4013171
Nacional@0@2002140
Nacional@0@2002141
Importado@20@2002142
Nacional@0@2002143
Nacional@0@1001349
Nacional@0@2002192
Nacional@0@2002193
Nacional@0@1001671
Nacional@0@1001669
Nacional@0@2002202
Nacional@0@1001673
Nacional@0@1000836
Nacional@0@8005950
Nacional@0@2002421
Nacional@0@8006907
Nacional@0@2003046
Nacional@0@2002420
Nacional@0@2003047
Nacional@0@8007462
Nacional@0@8006075
Nacional@0@8006076
Nacional@0@8006659
Nacional@0@8006668
Nacional@0@8006289
Nacional@0@8007398
Nacional@0@8007401
Nacional@0@8007402
Nacional@0@8007406
Nacional@0@8006021
Nacional@0@8006170
Nacional@0@8006171
Nacional@0@8006210
Nacional@0@8006211
Nacional@0@
Nacional@0@8006212
Nacional@0@4013229
Nacional@0@4010229
Nacional@0@
Nacional@0@8006688
Nacional@0@8006938
Nacional@0@4010247
Nacional@0@
Nacional@0@8006940
Nacional@0@
Nacional@0@8007211
Nacional@0@8007212
Nacional@0@8007215
Nacional@0@8007219
Nacional@0@8007222
Nacional@0@4012227
Nacional@0@8007227
Nacional@0@8007228
Nacional@0@8007230
Nacional@0@4010253
Nacional@0@4010252
Nacional@0@8007496
Nacional@0@8007556
Nacional@0@
Nacional@0@8005923
Nacional@0@8005944
Nacional@0@4010349
Nacional@0@8011063
Nacional@0@4013172
Nacional@0@4013173
Nacional@0@
Nacional@0@
Nacional@0@8009293
Nacional@0@4010300
Nacional@0@4010301
Nacional@0@8006022
Nacional@0@8006086
Nacional@0@8006134
Nacional@0@4010291
Nacional@0@8006153
Nacional@0@8006174
Nacional@0@8006184
Nacional@0@8006218
Nacional@0@8010085
Nacional@0@
Nacional@0@8006257
Nacional@0@4011416
Nacional@0@8006269
Nacional@0@8006290
Nacional@0@8006305
Nacional@0@4013700
Nacional@0@4013701
Nacional@0@8006355
Nacional@0@8006402
Nacional@0@8006531
Nacional@0@4010288
Nacional@0@8019376
Nacional@0@4010274
Nacional@0@4010275
Nacional@0@4010259
Nacional@0@8006543
Nacional@0@8006568
Nacional@0@8006624
Nacional@0@4013551
Nacional@0@8006667
Nacional@0@8006704
Nacional@0@8006705
Nacional@0@1001016
Nacional@0@8006706
Nacional@0@8006707
Nacional@0@1001005
Nacional@0@8006708
Nacional@0@1001007
Nacional@0@1001014
Nacional@0@8006715
Nacional@0@8006717
Nacional@0@8006718
Nacional@0@8006746
Nacional@0@8006901
Nacional@0@8006904
Nacional@0@8006910
Nacional@0@8006915
Nacional@0@8006951
Nacional@0@8020107
Nacional@0@1000835
Nacional@0@8006991
Nacional@0@4002442
Nacional@0@8005828
Nacional@0@8005831
Nacional@0@8005833
Nacional@0@8005834
Nacional@0@8005835
Nacional@0@8005838
Nacional@0@8005845
Nacional@0@8005851
Nacional@0@8005858
Nacional@0@8005859
Nacional@0@8005860
Nacional@0@8005885
Nacional@0@8005886
Nacional@0@8005887
Nacional@0@8005889
Nacional@0@8005894
Nacional@0@8005922
Nacional@0@8009944
Nacional@0@8005924
Nacional@0@8005927
Nacional@0@8005937
Importado@20@
Nacional@0@8008569
Nacional@0@8005946
Nacional@0@8019371
Nacional@0@8005989
Nacional@0@8005995
Nacional@0@8005996
Nacional@0@8009226
Nacional@0@8008535
Nacional@0@8007106
Nacional@0@8007139
Nacional@0@8007213
Nacional@0@8007221
Nacional@0@8006057
