Intermedia@5@8007975
No Selectiva@10@8007977
No Selectiva@10@8007978
No Selectiva@10@2002649
No Selectiva@10@2002644
No Selectiva@10@2002652
No Selectiva@10@2002648
No Selectiva@10@2002650
No Selectiva@10@2002645
No Selectiva@10@2002647
No Selectiva@10@2002653
No Selectiva@10@2002643
No Selectiva@10@2002646
No Selectiva@10@2002651
Selectiva@0@4013306
Selectiva@0@4013320
Selectiva@0@4013675
No Selectiva@10@2002144
No Selectiva@10@2002145
No Selectiva@10@2002146
No Selectiva@10@2002147
No Selectiva@10@2002148
Selectiva@0@4013170
Selectiva@0@4013171
No Selectiva@10@2002140
No Selectiva@10@2002141
No Selectiva@10@2002142
No Selectiva@10@2002143
Selectiva@0@1001349
Selectiva@0@2002192
Selectiva@0@2002193
Selectiva@0@1001671
Selectiva@0@1001669
Selectiva@0@2002202
Selectiva@0@1001673
Selectiva@0@1000836
Selectiva@0@8005950
No Selectiva@10@2002421
No Selectiva@10@8006907
Sin datos @0@2003046
No Selectiva@10@2002420
No Selectiva@10@2003047
No Selectiva@10@8007462
No Selectiva@10@8006075
No Selectiva@10@8006076
Intermedia@5@8006659
Intermedia@5@8006668
Intermedia@5@8006289
Intermedia@5@8007398
Intermedia@5@8007401
Selectiva@0@8007402
Intermedia@5@8007406
No Selectiva@10@8006021
No Selectiva@10@8006170
No Selectiva@10@8006171
No Selectiva@10@8006210
No Selectiva@10@8006211
Selectiva@0@
No Selectiva@10@8006212
Sin datos @0@4013229
Selectiva@0@4010229
Sin datos @0@
No Selectiva@10@8006688
No Selectiva@10@8006938
Selectiva@0@4010247
Selectiva@0@
No Selectiva@10@8006940
Selectiva@0@
No Selectiva@10@8007211
No Selectiva@10@8007212
No Selectiva@10@8007215
No Selectiva@10@8007219
No Selectiva@10@8007222
Sin datos @0@4012227
No Selectiva@10@8007227
No Selectiva@10@8007228
No Selectiva@10@8007230
Selectiva@0@4010253
Selectiva@0@4010252
No Selectiva@10@8007496
No Selectiva@10@8007556
No Selectiva@10@
No Selectiva@10@8005923
No Selectiva@10@8005944
Selectiva@0@4010349
No Selectiva@10@8011063
Selectiva@0@4013172
Selectiva@0@4013173
Selectiva@0@
Selectiva@0@
No Selectiva@10@8009293
Selectiva@0@4010300
Selectiva@0@4010301
No Selectiva@10@8006022
No Selectiva@10@8006086
No Selectiva@10@8006134
Selectiva@0@4010291
No Selectiva@10@8006153
No Selectiva@10@8006174
No Selectiva@10@8006184
No Selectiva@10@8006218
No Selectiva@10@8010085
Selectiva@0@
No Selectiva@10@8006257
Selectiva@0@4011416
No Selectiva@10@8006269
No Selectiva@10@8006290
No Selectiva@10@8006305
Selectiva@0@4013700
Selectiva@0@4013701
No Selectiva@10@8006355
No Selectiva@10@8006402
No Selectiva@10@8006531
Selectiva@0@4010288
No Selectiva@10@8019376
Selectiva@0@4010274
Selectiva@0@4010275
Selectiva@0@4010259
No Selectiva@10@8006543
No Selectiva@10@8006568
No Selectiva@10@8006624
Selectiva@0@4013551
No Selectiva@10@8006667
No Selectiva@10@8006704
No Selectiva@10@8006705
Selectiva@0@1001016
No Selectiva@10@8006706
No Selectiva@10@8006707
Selectiva@0@1001005
No Selectiva@10@8006708
Selectiva@0@1001007
Selectiva@0@1001014
No Selectiva@10@8006715
No Selectiva@10@8006717
No Selectiva@10@8006718
No Selectiva@10@8006746
No Selectiva@10@8006901
No Selectiva@10@8006904
No Selectiva@10@8006910
No Selectiva@10@8006915
No Selectiva@10@8006951
No Selectiva@10@8020107
Selectiva@0@1000835
No Selectiva@10@8006991
Selectiva@0@4002442
No Selectiva@10@8005828
No Selectiva@10@8005831
No Selectiva@10@8005833
No Selectiva@10@8005834
No Selectiva@10@8005835
No Selectiva@10@8005838
Sin datos @0@8005845
No Selectiva@10@8005851
No Selectiva@10@8005858
No Selectiva@10@8005859
No Selectiva@10@8005860
Selectiva@0@8005885
Selectiva@0@8005886
Selectiva@0@8005887
No Selectiva@10@8005889
No Selectiva@10@8005894
No Selectiva@10@8005922
No Selectiva@10@8009944
