Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Plantas,,Dactyloctenium geminatum,,,Terrestre,"Etiopia, Somalia, Kenia, Tanzania, Malawi, Mozambique, Zimbabwe, Sudáfrica (USDA, ARS 2015)","Campeche, Guerrero, Q. Roo (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,174829
Plantas,,Dactyloctenium scindicum,,,Terrestre,"África, Omán, Arabia Saudita, Yemen, India, Pakistán (USDA, ARS 2015)","B. C. Sur y Yucatán (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,177865
Plantas,,Daucus carota,,,Terrestre,"Viejo Mundo (Villaseñor & Espinosa-García, 2004)","Hidalgo (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,162819
Plantas,,Delonix regia,,,Terrestre,"Madagascar (Duno, 2012)","Yucatán (Duno, 2012)",Exótica,Presente,,,,188126
Plantas,,Dendranthema morifolium,"Dendranthema morifolium
Dendranthema grandiflorum",,Terrestre,"África, Asia y Europa (Villaseñor et al., 2012)","Chiapas, Tabasco (Villaseñor et al., 2012).",Exótica,Presente,,,,182578
Plantas,,Dichanthium annulatum,Andropogon annulatus Forssk.,"Pitilla (Cuba), climacuna (Colombia)",Terrestre,"Sureste de Asia, África y Asia tropical (Vibrans, 2009)","Estados Unidos, México (Aguascalientes, Campeche, Chihuahua, Coahuila, Jalisco, Morelos, Nuevo León, Oaxaca, Quintana Roo, San Luis Potosí, Tamaulipas, Yucatán), Centroamérica, Sudamérica y Caribe (Dávila-Aranda et al., 2006). Introducida en América tropical con algunas poblaciones en E.U.A. y en Australia. En México se encuentra en Campeche, Guanajuato, Morelos, Tamaulipas y Veracruz (Vibrans, 2009)",Exótica,Presente,,,,172937
Plantas,,Dichanthium aristatum,,,Terrestre,,"Estados Unidos, México (Nayarit, Nuevo León, San Luis Potosí, Tamaulipas), Centroamérica, Sudamérica y Caribe (Dávila-Aranda et al., 2006)",Exótica,Presente,,,,173032
Plantas,,Digitalis purpurea,,Digital,Terrestre,"Marruecos, Bélgica, Alemania, Finlandia, Irlanda, Noruega, Suecia, Reino Unido, Albania, Italia, Francia, Portugal, España (USDA, ARS,National Genetic Resources Program. 2015).","Chiapas, Hidalgo, Oaxaca, Veracruz (Vibrans, 2009).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,153684
Plantas,,Digitaria abyssinica,Digitaria scalarum,,Terrestre,"Este de África (Baguma et al., 1995)","India, Arabia Saudita, Sri Lanka, y como maleza en África del este (CABI 2011); México (Veracruz (Sánchez-Ken et al.,  2012))",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,201361
Plantas,,Digitaria bicornis,"Digitaria biformis Willd., 1809",,Terrestre,,"Estados Unidos, México (Baja  California Sur, Campeche, Chiapas, Chihuahua, Colima, Distrito Federal, Guerrero, Hidalgo, Jalisco, Estado de México, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Quintana Roo, Sinaloa, Sonora, Tabasco, Tamaulipas, Veracruz y Yucatán), Centroamérica, Sudamérica y Caribe (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,173311
Plantas,,Digitaria eriantha,"Digitaria pentzii Stent, 1930",,Terrestre,"Sureste de África (Sánchez-Ken, 2012).","Estados Unidos, Centroamérica y Sudamérica (Dávila, et al., 2006), México (Oaxaca, Tamaulipas, Veracruz, Zacatecas) (Sánchez-Ken, 2012)",Exótica,Presente,,,,201354
Plantas,,Digitaria ischaemum,Panicum ischaemum Schreb. 1804,,Terrestre,"Irán, Turquía, Europa del Este, China, Japón, Paquistán, Francia, Portugal, España, Italia (USDA, ARS 2011)","Coahuila, Durango, Sonora y Tamaulipas (Sánchez-Ken, 2012)",Exótica,Presente,,,,201338
Plantas,,Digitaria leucites,,,Terrestre,,"México, Guatemala (Vibrans, 1997)",Exótica,Presente,,,,175762
Plantas,,Digitaria milanjiana,,,Terrestre,"África (USDA, ARS 2015)","Colima, Hidalgo, Jalisco, Puebla, Quintana Roo, Tabasco, Tamaulipas, Veracruz (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,201342
Plantas,,Digitaria nuda,,,Terrestre,"África (Barkworth, 2007)","Chiapas, Colima, Guerrero, Jalisco, Mich, Morelos, Nayarit, Oax. Pue, Q. Roo, S. L. P., Sinaloa, Veracruz y  Yuctán (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,176544
Plantas,,Digitaria sanguinalis,,Guarda rocío,Terrestre,"África, Europa, Asia (PIER 2008)","U.S.A., Mexico (Ags., B.C. Sur., Chih., Jal., Mich., N.L., Qro., S.L.P., Son., Tamps., Zac.), C. Amer., S. Amer., Car., O. W. (Sánchez-Ken, 2012)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,177773
Plantas,,Digitaria setigera,,,Terrestre,"Nativa de Asia tropical (Vibrans, 2009)","Caribe, México (Chiapas, Oaxaca y Veracruz), Colombia, Ecuador, Bolivia y Surinam (Vibrans, 2009)",Exótica,Presente,,,,177986
Plantas,,Digitaria ternata,,,Terrestre,,"Ags., D. F., Dgo., Gto., Hgo., Jal., Mex., Mich., Mor., Oax., Pue., Qro., Zac. (Sánchez-Ken, 2012)",Exótica,Presente,,,,178434
Plantas,,Digitaria velutina,,,Terrestre,"Africa oriental (Vibrans, 2009; CABI 2016)","D.F., Mor., Oax., Pue. (Sánchez-Ken, 2012)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,,178726
Plantas,,Digitaria violascens,,,Terrestre,"Afganistán, China, Japón, India, Pakistán, Sri Lanka (USDA, ARS 2015)","Estados Unidos, Belgica (CABI 2014), Chiapas (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,178823
Plantas,,Dinebra chinensis,,,Terrestre,Asia tropical (CABI 2015),,Exótica,Ausente,,NOM-043-FITO-1999,,
Plantas,,Diplotaxis muralis,,,Terrestre,,"Coahuila de Zaragoza (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,163287
Plantas,,Dypsis lutescens,"Areca lutescens hort., Chrysalidocarpus baronii var. Littoralis Jum. & H. Perrier,","Palma areca, Yellow butterfly palm",Terrestre,"Madagascar (Chacalo-Hilu & Corona y Nava, 2009)","Introducida en todo México (Chacalo-Hilu & Corona y Nava, 2009) Isla La Reunión (Francia) (PIER 2010)",Exótica,Por confirmar,,,,
Plantas,,Echinochloa colona,Brachiaria longifolia Gilli; Echinochloa colona fo. vivipara Beetle; Echinochloa colona fo. zonalis (Guss.) Wiegand; Echinochloa colona var. equitans (Hochst. ex A. Rich.) Cufod.; Echinochloa colona var. zonalis (Guss.) Wooton & Standl.;,"Arrocillo sivlestre, camalote, champa, grama de verano, grama pintada, hualcacho, liendre de puerco, paja de apto, pasto colorado, pasto del arroz, pata de conejo, zacate de agua, zacate pinto, arroz del monte, zacate rayado",Terrestre,"Eurasia (Rzedowski & Rzedowski, 2004).","En todos los estados, excepto en Estado de México, Distrito Federal, Hidalgo y Tlaxcala (Vibrans, 2009)",Exótica,Presente,,,,173836
Plantas,,Echinochloa crus-galli,"Echinochloa colona (L.) Link; Echinochloa crus-galli var. aristata Gray; Echinochloa pungens (Poir.) Rydb.; Milium crusgalli (L.) Moench, Panicum crus-galli L.; Pennisetum crus-galli (L.) Baumg.; Panicum hispidulum Retz.;",,Terrestre; Dulceacuícola,"Europa y la India (Vibrans, 2009)","Canadá hasta Uruguay y regiones cálidas del hemisferio oriental, México (Baja California, Baja California Sur, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Nayarit, Oaxaca, Puebla, Queretáro, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala) (Vibrans, 2009)",Exótica,Presente,,,,174032
Plantas,,Echinochloa pyramidalis,Echinochloa guadeloupensis (Hack.) Wiegand; Echinochloa holubii (Stapf) Stapf; Echinochloa pyramidalis var. guadeloupensis (Hack.) Stehlé; Echinochloa quadrifaria (Hochst. ex A. Rich.) Chiov.; Echinochloa senegalensis Mez; Echinochloa verticillata Berhaut,,Terrestre,"Este de África, África tropical (USDA, ARS 2015)","Mexico (Veracruz) (López et al., 2013)",Exótica,Presente,,,,177415
Plantas,,Echium vulgare,,Chupamieles,Terrestre,"Chipre, Turquía, Armenia, Azerbaiyán, Federación Rusa, Kazajistán, Kirguistán, Tayikistán, Turkmenistán, Uzbekistán, China, Dinamarca, Irlanda, Suiza, Austria, Bélgica, República Checa, Hungría, Polonia, Eslovaquia, Estonia, Ucrania, Albania, Bulgaria, Grecia, Italia, Rumania, Francia, Portugal, España (USDA, ARS 2015)",,Exótica,Por confirmar,,NOM-043-FITO-1999,,
Plantas,,Egeria densa,"Anacharis densa (Planch.) Vict., Elodea canadensis var. gigantea Hort. in Bailey, Elodea densa (Planch.) Casp., Philotria densa (Planch.) Small,","Brazilian elodea, Brazilian waterweed, egeria, shui yun cao, South American waterweed",Dulceacuícola,"Argentina, Brasil y Uruguay (CABI 2011)","Continente americano y en las Antillas, África, Asia, Europa, Australia y Nueva Zelanda, México (Ags, DF, Gto, Hgo, Mex, Mor, Nay, Oax, Qro, SLP, Ver y Yuc (Bonilla-Barbosa & Santamaría, 2013))",Exótica,Presente,Invasora,,x,157317
Plantas,,Eichhornia crassipes,,"Lirio acuático, jacinto de agua, lechuguilla, lila de agua, water hyacinth",Dulceacuícola,"Sudámerica (Vibrans, 2009).","En México: Campeche, Chiapas, Coahuila, Distrito Federal, Durango, Guanajuato, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Nayarit, Oaxaca, Querétaro, Quintana Roo, Sinaloa, Sonora, Tabasco, Tamaulipas, Veracruz y Yucatán (Vibrans, 2009). 

África (Benín, Burkina Faso, Burundi,  Camerún, Costa de Marfil, Egipto, Ecuatorial Etiopía, Gabón, Ghana, Guinea, Guinea-Bissau, Liberia, Madagascar, Malawi, Mozambique, Nigeria, Senegal, Sierra Leona, Suazilandia, Sudáfrica, Sudán, Tanzania, Togo, Uganda, Zambia, Zimbabue) y en Samoa Americana, Australia, Bahamas, Bangladesh, Bermuda, Brasil, Brunei, Darussalam, Camboya, Chile, China, Colombia, Congo, República Democrática de Zaire, Islas Cook, Costa Rica, Cuba, República Dominicana, Ecuador, Fijí, Polinesia Francesa, Guam, Guatemala, Republica de Haití, Honduras, Hong Kong, India, Indonesia, Israel, Jamaica, Japón, Jordán, Kenia, Laos, República del Líbano, Malasia, Republica de Maldivas , Islas Marshall, Mauricio, Estados Federados de Micronesia, Myanmar, Nauru, Nueva Caledonia, Nueva Zelanda, Nicaragua, Islas Marianas del Norte, Palao, Territorios Palestinos, Panamá, Papua Nueva Guinea, Perú, Filipinas, Portugal, Puerto Rico, La  Reunión, Federación Rusia, Ruanda, Samoa,  Singapur, Islas Solomon, Sri Lanka, Republica Sirio-Árabe, Taiwán, Tailandia, Estados Unidos (USA), Islas Ultramarinas de Estados Unidos, Vanuatu, Venezuela, Vietnam (GISD 2007).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,157320
Plantas,,Elaeagnus angustifolia,,Olivo ruso,Terrestre,Sur de Europa y Asia occidental (GISD 2015).,"Bermuda, Canadá, México y Estados Unidos (GISD 2015).",Exótica,Presente,,,,201384
Plantas,,Elaeis guineensis,"Elaeis guineensis var. Madagascariensis Jum. & H. Perrier, Elaeis madagascariensis (Jum. & H. Perrier) Becc.","Palma africana de aceite, coquito de aceite",Terrestre,Oeste de África (GISD 2006),"Brasil, Micronesia (GISD 2006)",Exótica,Presente,Invasora,,,157327
Plantas,,Eleusine indica,,Pata de gallina,Terrestre,"Asia (Japón, Corea, Omán y Yemen), África (CABI 2016)","Baja California Norte, Baja California Sur, Campeche, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guerrero, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Nayarit, Oaxaca, Puebla, Quintana Roo, Sinaloa, Tabasco, Tamaulipas, Veracruz, Yucatán (Villaseñor & Espinosa, 1998).",Exótica,Presente,Invasora,,x,175394
Peces,Gastromyzontidae,Beaufortia leveretti,,,Dulceacuícola,"China y Vietnam (Froese & Pauly, 2011)",,Exótica,Por confirmar,Invasora,,x,
Plantas,,Eleusine multiflora,,,Terrestre,"África (Vibrans, 1997).","Aguascalientes, Chiapas, Chihuahua, Distrito Federal, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Puebla, Querétaro, Tlaxcala, Veracruz, Zacatecas, Sinaloa, Coahuila, Durango, Jalisco, San Luís Potosí, Guanajuato y Oaxaca (Vibrans, 1997).",Exótica,Presente,,,,176364
Plantas,,Eleusine tristachya,,,Terrestre,"Brasil, Bolivia, Argentina, Chile, Paraguay, Uruguay (USDA, ARS 2015)","Edo. de México (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,178592
Plantas,,Elodea canadensis,,,Dulceacuícola,Estados Unidos (GISD 2010),"Australia, Austria, República Checa, Dinamarca, Estonia, Finlandia, Francia, Alemania, Irlanda, Italia, Latvia, Lituania, Noruega, Polonia, Portugal, España, Suecia, Suiza, UK, Nueva Zelanda, Hawaii (GISD 2010)",Exótica,Presente,,,,157339
Plantas,,Elymus repens,,,Terrestre,"Europa, oeste de Asia y Norte de África (CABI 2011).",Nueva Guinea (CABI 2011),Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,177523
Plantas,,Elymus stebbinsii,"Agropyron parishii Scribn. & J.G. Sm., 1897",,Terrestre,,,Exótica,Presente,,,,196731
Plantas,,Emex australis,,,Terrestre,"Sudáfrica, Namibia, Lesotho (CABI 2012)","Australia, Hawaii, Sudafrica (CABI 2012)",Exótica,Ausente,,NOM-043-FITO-1999,,201466
Plantas,,Emex spinosa,,,Terrestre,"Israel, Jordania, Líbano, Siria, Turquía, Argelia, Egipto, Libia, Marruecos, Túnez, Chipre, Grecia, Italia, Malta, Portugal, España (CABI 2011)","Egipto, Marruecos, Hawaii, Australia, (CABI 2011)",Exótica,Ausente,,NOM-043-FITO-1999,,201467
Plantas,,Emilia fosbergii,,Lechuguilla roja,Terrestre,"Asia (Villaseñor et al., 2012), posiblemente África Central o del Este (PIER 2016)","Campeche, Chiapas, Quintana Roo, Tabasco (Villaseñor et al., 2012).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,180885
Plantas,,Emilia sonchifolia,,Hierba socialista,Terrestre,"China, Japón, Taiwán, Bután, India, Nepal, Sri Lanka, Tailandia, Vietnam, Indonesia, Malasia, Papua Nueva Guinea, Filipinas (GRIN-Global, 2016)","Chiapas, Oaxaca, Tabasco, Veracruz (Villaseñor et al., 2012)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,184414
Plantas,,Epilobium spp.,,,Terrestre,,,Exótica,Por confirmar,,,,
Plantas,,Equisetum arvense,,,Terrestre,"Europa, Asia, sur de Turquía, Irán, China, Corea y Japón (CABI 2015)",,Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,201380
Plantas,,Eragrostis atrovirens,,,Terrestre,,,Exótica,Presente,,,,173121
Plantas,,Eragrostis bahiensis,,,Terrestre,,,Exótica,Presente,,,,173208
Plantas,,Eragrostis barrelieri,,,Terrestre,,,Exótica,Presente,,,,173259
Plantas,,Eragrostis cilianensis,,,Terrestre,,"Estados Uniudos, México (Baja California Sur, Campeche, Chiapas, Chihuhua, Coahuila, Durango, Guerrero, Jalisco, Oaxaca, Puebla, San Luis Potosí, Sonora, Tamaulipas, Veracruz, Yucatán, Zacatecas), Centroamérica, Sudamérica, Caribe (Dávila-Aranda  et al., 2006)",Exótica,Presente,,,,173747
Plantas,,Eragrostis curtipedicellata,Eragrostis viscosa,,Terrestre,,,Exótica,Presente,,,,174065
Plantas,,Eragrostis curvula,,,Terrestre,"Sudáfrica (Vibrans, 2009).","Estados Unidos, México (Chihuahua, Coahuila, Distrito Federal, Durango, Guanajuato, Michoacán, Nuevo León, Querétaro, Sonora, Tlaxcala), Centramérica y Sudamérica (Dávila-Aranda et al., 2006)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,174081
Plantas,,Eragrostis echinochloidea,,,Terrestre,"Zimbawe, Batswana, Namibia, Sudáfrica (USDA, ARS 2005).",,Exótica,Presente,,,,230075
Plantas,,Eragrostis lehmanniana,,Zacate africano o zacate de amor,Terrestre,,"Estados Unidos, México (Chihuhua, Coahuila, Estado de México, Sonora), Sudamérica (Dávila-Aranda et al., 2006; Royo & Melgoza, 2001)",Exótica,Presente,,,,175725
Plantas,,Eragrostis minor,,,Terrestre,"Argelia, Egipto, Libia, Eritrea, Etiopía, Somalia, Mauritania, Senegal, Omán, Yemen, Afganistán, Egipto, Irak, Israel, Líbano, Siria, Turquía, Armenia, Azerbaiyán, Georgia, Federación de Rusia, Kazajstán, Kirguistán, Tayikistán, Turkmenistán, Uzbekistán, Mongolia, China, Nepal, Pakistán, Austria, República Checa, Hungría, Eslovaquia, Suiza, Moldavia, Federación de Rusia, Ucrania, Albania, Bulgaria, Croacia, Grecia, Italia, Rumania, Serbia, Eslovenia, Francia, Portugal, España (USDA, ARS 2015)","Tamaulipas (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,176246
Plantas,,Eragrostis pilosa,,,Terrestre,"Sur de Europa zonas más tropicales y subtropicales del Viejo Mundo (PIER, 2008).","Canadá, Estados Unidos, México (Baja California, Baja California Sur, Chiapas, Chihuahua, Coahuila, Colima, Distrito Federal, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, Estado de México, Michoacán, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Veracruz), Centroamérica, Sudamérica y el Caribe (Dávila-Aranda et al., 2006)",Exótica,Presente,,,,177003
Plantas,,Eragrostis superba,,,Terrestre,"Sudáfrica (Hoare, 2013).","Estados Unidos, México (Aguascalientes, Chihuhua, Coahuila, Guanajuato, Estado de México, Michoacán, Nuevo León, San Luis Potosí, Sonora), Centroamérica y Sudamérica (Dávila et al., 2006).",Exótica,Presente,,,,178310
Plantas,,Eragrostis unioloides,"Eragrostis tenella (L.) P. Beauv. ex Roem. et Schult., 1817",,Terrestre,,,Exótica,Presente,,,,178655
Plantas,,Eremochloa ophiuroides,,,Terrestre,"China, Taiwán, Vietnam (USDA, ARS 2015)","B. California (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,176632
Plantas,,Erigeron formosissimus,,,Terrestre,"Estados Unidos (USDA, ARS 2005)",,Exótica,Presente,,,,199272
Plantas,,Eriogonum polycladon,,Piojillo,Terrestre,"Sur de Estados Unidos, probablemente también al N de Mex (Flora of North America 2005)",,Exótica,Presente,,,,166687
Plantas,,Erodium brachycarpum,,,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Aguascalientes (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,200022
Plantas,,Erodium cicutarium,Geranium cicutarium,Alfilerillo,Terrestre,"Portugal, España, Egipto, Libia, Marruecos, Túnez, Afganistán, Chipre, Egipto, Irán, Iraq, Israel, Líbano, Siria, Turquía, Armenia, India, Nepal Dinamarca, Irlanda, Reino Unido (USDA, ARS 2005).","Quintana Roo (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,164217
Plantas,,Erodium malacoides,,,Terrestre,"Portugal, España, Argelia, Egipto, Libia, Túnez, Armenia, Azerbaiyán, Turkmenistán, Chipre, irán, Irak, Israel, Jordania, Líbano, Siria, Turquía, Paquistán, Ucrania, Albania, Croacia, Grecia, Italia, Francia, Portugal, España (USDA, ARS 2015).","Aguascalientes (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,169396
Plantas,,Erodium moschatum,,"Alfilerillo, Alfilerillo blanco",Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Guerrero (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,164220
Plantas,,Eruca vesicaria,Erua sativa Mill.,Rucola silvestre,Terrestre,"Mediterráneo occidental (Vibrans, 2009)","Baja California Sur, Chiapas, Chihuahua, Coahuila, Distrito Federal, Durango, Guanajuato, Hidalgo, Estado de México, Morelos, Nuevo León, Oaxaca, Puebla, Querétaro, San Luís Potosí, Tlaxcala, Veracruz, Zacatecas (Vibrans, 2009)",Exótica,Presente,,,,199935
Plantas,,Erucastrum gallicum,,,Terrestre,"Austria, Alemania, Hungría, Países Bajos, Suiza, Italia, Eslovenia, Francia y España (USDA, ARS 2015)","Baja California (Villaseñor & Espinosa-García, 2000)",Exótica,Presente,,,,163293
Plantas,,Eucalyptus camaldulensis,,,Terrestre,Australia (CABI 2011),"Bangladesh, Sudáfrica, Estados Unidos (California) (CABI 2011)",Exótica,Presente,Invasora,,x,193814
Plantas,,Eucalyptus cladocalyx,,,Terrestre,Sur de Australia(CABI 2011),"Sudáfrica, Oeste de Australia (CABI 2011)",Exótica,Ausente,Invasora,,,201430
Plantas,,Eucalyptus globulus,,Eucalipto gigante,Terrestre,Australia (PIER 2008),"Islas de Chile, Hawaii, Nueva Zelanda, Estados Unidos (California) (PIER 2011)",Exótica,Presente,Invasora,,,192560
Plantas,,Eucalyptus paniculata,,,Terrestre,Australia (CABI 2015),Hawaii (PIER 2010),Exótica,Ausente,Invasora,,,201431
Plantas,,Eucalyptus sideroxylon,,,Terrestre,Australia (CABI 2015),"Sudáfrica (CABI 2015),",Exótica,Ausente,Invasora,,x,201432
Mamíferos,Capromyidae,Capromys pilorides,,Jutia,Terrestre,"Cuba (Soy & Silva, 2008)",,Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229901
Plantas,,Euphorbia helioscopia,,,Terrestre,"África, Asia, Europa (USDA, ARS 2005; Tanveer et al., 2010)","Nueva Caledonia, Australia, Nueva Zelanda (PIER 2011)",Exótica,Por confirmar,Invasora,,,
Plantas,,Euphorbia lathyris,"Galarhoeus lathyris (L.) Haw, Tithymalus lathyris (L.) Hill",Tartago,Terrestre,"China, Grecia, Italia, Francia (USDA, ARS 2015)","Costa Este de Estados Unidos (introducida), Nueva Zelanda, China (PIER 2012), México (Chiapas (Tropicos, 2015)",Exótica,Presente,,,,149777
Plantas,,Euphorbia peplus,,,Terrestre,"Euroasia (Vibrans, 2009).","Hidalgo (Villaseñor & Espinosa-García, 2004).",Exótica,Presente,,,,149780
Plantas,,Euphorbia terracina,,,Terrestre,"Argelia, Egipto, Marruecos, Túnez, Chipre, Israel, Jordanía, Líbano, Siria, Turquía, Albania, antigua Yugoslavia, Grecia, Italia, Francia, Portugal, España (USDA, ARS 2015)","Distrito Federal, Hidalgo y Estado de México (Vibrans, 2015)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,149824
Plantas,,Eustachys petraea,,,Terrestre,,,Exótica,Presente,,,,176968
Plantas,,Fagopyrum esculentum,,,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)",,Exótica,Presente,,,,166697
Plantas,,Fallopia convolvulus,Polygonum convolvulus,correhuela anual,Terrestre,"Argelia, Egipto, Libia, Marruecos, Armenia, Azerbaiyán, Georgia, Federación Rusia, China, Corea, Taiwán, Kazakstán, Kirguizistán, Tayikistán, Turkmenistán, Uzbekistán, Mongolia, Afganistán, Chipre, irán, Israel, Jordania, Líbano, Siria, Turquía, Bután, India, Nepal, Pakistán, Bielorrusia, Moldava , Ucrania, Austria, Bélgica, República Checa, Alemania, Hungría, Holanda, Polonia, Eslovaquia, Suiza, Dinamarca, Finlandia, Irlanda, noruega, Suecia, Reino Unido, Bosnia y Herzegovina, Bulgaria, Croacia, Grecia, Italia, Macedonia, Malta, Montenegro, Rumania, Serbia, Eslovenia, Francia, Portugal, España (USDA, ARS 2015).","Guanajuato, Querétaro, Zacatecas, Nueva León, Puebla, Hidalgo y el Estado de México (Vibrans, 2009)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,202080
Plantas,,Fallopia dumetorum,,,Terrestre,"Azerbaiyán, Georgia, Federación Rusa, China, Corea, Kazajistán, Mongolia, Afganistán, Irán, Turquía, Bután. India, Nepal, Pakistán, Estonia, Latvia, Lituania, Moldava, Austria, Bélgica, Alemania Hungría, Suiza, Eslovaquia, Holanda, Albania, Bulgaria, Croacia, Grecia, Italia, Macedonia, Montenegro, Rumania, Serbia, Eslovenia, Francia, Portugal, España (U. S. National Plant Germplam System. 2016).",,Exótica,Presente,,,,201303
Plantas,Poaceae,Cenchrus purpureus,Cenchrus purpureus (Schumach.) Morrone,Zacate elefante,Terrestre,"África tropical (Vibrans, 2009)","México (Veracruz) (Moreno-Casasola, s.f.)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229914
Plantas,,Festuca arundinacea,Bromus arundinaceus; Schedonorus arundinaceus,,Terrestre,"África, Asia, Europa (USDA, ARS 2015)","Estado de México, Puebla y Veracruz (Vibrans, 2009)",Exótica,Presente,,,,173085
Plantas,,Festuca elmeri,,,Terrestre,"Estados Unidos (USDA, ARS 2015; Flora of North America Editorial Committee, 2007).","Isla isabel (INE, 2011)",Exótica,Presente,,,,201351
Plantas,,Festuca ovina,,,Terrestre,,,Exótica,Presente,,,,199263
Plantas,,Festuca rubra,,,Terrestre,"África, Asia, Europa, Canada, Estados Unidos  (USDA, ARS 2015)",,Exótica,Presente,,,,177685
Plantas,,Foeniculum vulgare,,"Anís, eneldo, fennel, sweet fennel",Terrestre,"Europa (Vibrans, 2009)","México (Baja California Norte, Chiapas, Jalisco, Oaxaca, Querétaro, Sinaloa, Sonora, Veracruz) (Vibrans, 2009), Durango (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,162829
Plantas,,Fumaria officinalis,,,Terrestre,"España, Algeria, Egipto, Libia, Marruecos, Tunez, Chipre,Iraq, Israel, Libano, Siria, Turquia, Federación Rusa, Dinamarca, Irlanda, Noruega, Reino Unido, Austria, Belgica, Checoslovaquia. Alemania, Hungria, Polonia, Belarusia, Estonia, Lituania, Albania, Bulgaria, Grecia, Italia, Rumania, Francia, Portugal y España (USDA, ARS 2005).","Naturalizada en China, Nueva Zelanda, Estados Unidos (USDA, ARS 2015)",Exótica,Presente,,,,230076
Plantas,,Fumaria parviflora,,Fumaria,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Guanajuato (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,201318
Plantas,,Galega officinalis,,,Terrestre,"Argelia, Marruecos, Turquía, Pakistán, Austria, Checoslovaquia, Alemania, Hungría, Polonia, Albania, Bulgaria, Grecia, Italia, Rumania, Francia, España (USDA ARS 2005).",,Exótica,,,NOM-043-FITO-1999,,
Plantas,Poaceae,Cenchrus setaceus,"Pennisetum ruppelii Steud., Phalaris setacea Forsk, Cenchrus setaceus (Forssk.) Morrone",Sericura,Terrestre,"Israel, Jordania, Líbano Omán, Filipinas, Arabia Saudita, Siria, Yemen, Argelia, Eritrea, Kenia, Libia, Marruecos, Túnez, Etiopía, Somalia, Sudán, Tanzania, Zambia, Zimbabue, Egipto, Italia (CABI 2015)","Namibia, Sudáfrica, Estados Unidos, Guadalupe, Australia, Nueva Caledonia (GISD 2010)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,229915
