Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Plantas,,Acer palmatum,Acer polymorphum Siebold & Zucc,"Arce japonés, maple japonés, japanese maple",Terrestre,"Este de Asia (Weeds of Australia, 2009).","Valle de México, Sierra Norte de Puebla y Altiplano Central (Chacalo-Hilu & Corona y Nava, 2009)",Exótica,Presente,,,,201346
Plantas,,Acer pentaphyllum,,,Terrestre,"Valle Yalung, Provincia Sichuan, oeste de China (Chacalo-Hilu & Corona y Nava, 2009)","Jardines del DF (Chacalo-Hilu & Corona y Nava, 2009)",Exótica,Presente,,,,201347
Plantas,,Achyranthes aspera,"Achyranthes aspera var. indica L., 1753; Achyranthes indica (L.) Mill., 1768","zorrillo blanco, rabo de gato, pincha de gato, malpica, sak-pay-ché, sak-pik-ché, zakpaiche, devil's horsewhip, prickly chaff-flower",Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Jalisco, (Villaseñor & Espinosa-García, 2004), Campeche, Chiapas, Colima, Morelos, Nayarit, Oaxaca, Queretáro, Quintana Roo, Tabasco, Tamaulipas, Veracruz y Yucatán (Villaseñor & Espinosa, 1998)",Exótica,Presente,,,,168256
Plantas,,Aegilops caudata,,,Terrestre,"Iran, Iraq, Libano, Siria, Turquía, Bulgaria, Yugoslavi, Grecia (USDA, ARS 2012).",,Exótica,Presente,,,,201341
Plantas,,Aegilops cylindrica,,Zacate cara de cabra,Terrestre,"Afganistán, Armenia, Azerbaiján, Georgia, Iran, Iraq, Jordania, Kazajastán, libano, Pakistán, Siria, Tajikistán, Turquía, Turkmenistán, Uzbekistán, Austria, Bulgaria, Croacia, Creta, Hungria, Macedonia, Moldova, Rumania, Serbia, Eslovaquia, Eslovenia, Ucrania (CABI, 2016).","Canadá, Estados Unidos y México (Chihuahua) (NAPPO-PRA, 2003).",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,174100
Plantas,,Agropyron cristatum,,triguillo crestado,Terrestre,"Norte de África, Asia templada, Europa (USDA, ARS 2015)","Canadá, Estados Unidos, México (Chih.) (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,174019
Plantas,,Agrostemma githago,,,Terrestre,"Argelia, Libia, Marruecos, Tunisia, Armenia, China, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Rusia, Afghanistan, Iran, Irak, Israel, Lebanon, Siria, Turquía (USDA, ARS 2015).","Estados Unidos (introducida), China (Gordon et al., 2008)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,x,201470
Plantas,,Agrostis gigantea,,,Terrestre,"Eurasia y Norte de África (Tilley et al., 2010)","México, San Luis Potosi (Sánchez-Ken et al., 2012; Pacheco & Dávila, 2004)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,196674
Plantas,,Agrostis stolonifera,,Pasto,Terrestre; Dulceacuícola,"Eurasia y Norte de África (Esser, 1994).","Estados Unidos, Hawaii, Nueva Zelanda (PIER, 2010)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,178196
Plantas,,Aira caryophyllea,,,Terrestre,"Turquía, Argelia, Etiopia, Kenia, Marruecos, Islas Canarias, Tanzania, Túnez, Uganda, Albania, Bielorrusia, Bélgica, Bulgaria, Croacia, Chipre, República Checa, Dinamarca, Alemania, Grecia, Hungría, Irlanda, Lituania, Montenegro, Holanda, Polonia, Portugal, Rusia, Serbia, Eslovaquia, Eslovenia, España, Suiza, Ucrania, Reino Unido (CABI 2013).","China, Canadá, Estados Unidos, Chile, Ecuador, Latvia, Australia, Nueva Zelanda (CABI 2013). México (Baja California, Jalisco, Oaxaca) (Sánchez-Ken et al., 2012).",Exótica,Presente,,,,173664
Plantas,,Aira elegantissima,,,Terrestre,"Argelia, Marruecos, Chipre, Irán, Israel, Llibano, Turquía, Azerbaijan, Georgia, Federación Rusa, Austria, Republica Checa, Hungria, Eslovaquia, Ucrania, Albania, Bulgaria, Croacia, Grecia, Italia, Rumania, Serbia, Eslovenia, Francia  y España (USDA, ARS 2015).","Bélgica, Alemania (CABI 2012)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,x,201429
Plantas,,Albizia lebbeck,Acacia lebbeck (Linnaeus) Willd; Mimosa lebbeck L.,Acacia amarilla,Terrestre,Probablamente Asia (GISD 2015),"Bermuda, Mayote, Reunión, Sudáfrica (GISD 2015)",Exótica,Presente,Invasora,,x,171933
Plantas,,Alhagi maurorum,Alhagi camelorum Fisch.; Alhagi pseudalhagi,Guayabo brasileño,Terrestre,"Kuwait, Armenia, Azarbaija, Federación Rusa, China, Kazakhstan; Tajikistan; Turkmenistan; Uzbekistan, Mongolia, Afghanistan, Chipre, Iran, Irak, Israel, Jordania, Líbano, Siria, Turquía (USDA, ARS 2015)","Estados Unidos: Arizona (Brock, 2008), California (O'Connel, 1997), Sonora (Chambers & Hawkins, 2002)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,201325
Plantas,,Aloe vera,Rzedowski y Rzedowski (2001) consideran a Aloe vera L. como sinónimo y a A. barbadensis P. Mill como nombre válido. (Vibrans H. ),"Barbados aloe, curaÃ§ao aloe, medicinal aloe, unguentine cactus (Vibrans, 2009)",Terrestre,"Islas atlánticas africanas (FNA), especialmente las Islas Canarias; otras fuentes indican Sudáfrica como área de origen (Vibrans, 2009).","Estado de México, Guerrero, Hidalgo, Oaxaca, Puebla, Querétaro, San Luis Potosí, Sonora y Yucatán (Vibrans, 2009).",Exótica,Presente,,,,155729
Plantas,,Alopecurus geniculatus,,,Terrestre,"Europa y Asia occidental (Peeters, 2013)","México (Chihuahua) (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,174849
Plantas,,Alopecurus myosuroides,,,Terrestre,Mediterráneo (CABI 2012),"California, Washington (CABI 2012)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,201319
Plantas,,Alternanthera philoxeroides,,maleza caimán,Terrestre; Dulceacuícola,"Argentina, Brasil (CABI 2014)","China, India, Indonesia, Sri. Lanka, Tailandia, Florida, Australia, Nueva Zelanda (CABI 2014).",Exótica,Presente,,,,201349
Plantas,,Alysicarpus ovalifolius,,,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Aguascalientes (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,200542
Plantas,,Alysicarpus vaginalis,,,Terrestre,"Filipinas, Australia, Japón, China, Indonesia, Malasia,  Panamá (en duda), Tailandia, Vietnam (PIER 2011)","Fiji, Polinesia francesa, Guam, Hawaii, Islas Marshall, Nueva Caledonia, Palau, Tonga (PIER 2011)",Exótica,Presente,,,,188773
Plantas,,Amaranthus albus,,,Terrestre,Norteamérica (GCW 2007),"China (Wang et al., 2009), Manitoba (MAFRI 2009)",Exótica,Presente,,,,172051
Plantas,,Amaranthus angustifolius graecizans,"Amaranthus graecizans L., 1753","Zorrillo blanco, rabo de gato, pincha de gato, malpica, sak-pay-ché, sak-pik-ché, zakpaiche, devil's horsewhip, prickly chaff-flower",Terrestre,"Africa, Asia, Europa (USDA, ARS 2015)",,Exótica,Por confirmar,,,,
Plantas,,Amaranthus blitum,"Amaranthus lividus L.,1753",,Terrestre,"Mediterráneo (Gobotany, 2014)",,Exótica,Por confirmar,,,,
Plantas,,Amaranthus muricatus,"Euxolus muricatus Moq., 1849","Muricate amaranth, roughfruit amaranth, amaranto",Terrestre,"Sudamérica (Villaseñor & Espinosa-García, 2004); Argentina, Paraguay y Uruguay (Vibrans, 2009)","Alabama, región del Mediterráneo, sur de África y Australia, México (Distrito Federal, Aguascalientes (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,230027
Plantas,,Amaranthus viridis,"Pyxidium viride, Glomeraria viridis Cav., Amaranthus ascendens Loisel., Euxolus viridis Moq. y Amaranthus emarginatus Salzm. (Vibrans 2009)","Slender amaranth, tropical green amaranth, green amaranth",Terrestre,"Sudamérica (Vibrans, 2009)","Estados Unidos, Asia, África, México (Baja California Norte, Chiapas, Chihuahua, Distrito Federal, Tabasco, Veracruz, Morelos) (Vibrans, 2009)",Exótica,Presente,,,,200945
Plantas,,Ambrosia acanthicarpa,,,Terrestre,"Canadá, Estados Unidos (USDA, ARS 2015)",,Exótica,Presente,,,,179018
Plantas,,Ambrosia artemisiifolia,"Ambrosia absynthifolia (Michx., 1803); Ambrosia artemisiifolia L. subsp. diversifolia (Piper, 1837); Ambrosia monophylla (Rydberg, 1922); Ambrosia paniculata (Michaux, 1803; Ambrosia simplicifolia (Raeuschel, 1797); Iva monophylla (Walter, 1788)","ambrosia de hojas de ajenjo, artemisia del país",Terrestre,"Canadá, Estados Unidos, Cuba, Brasil, Bolivia, Peru, Argentina, Chile, Paraguay, Uruguay (USDA, ARS 2005).","Polonia, Eslovenia, Suiza, Ucrania, Australia, Hawaii, Estados Unidos (continental) (GISD 2011)",Exótica,Presente,,,,179409
Plantas,,Ambrosia trifida,,,Terrestre,"Canadá, Estados Unidos (CABI 2015)","Baja California Sur (Villaseñor & Espinosa-García, 2004), Francia, Reino Unido, Polonia, Rusia, Lituania, Canadá (Quebec, Manitoba, Ontario y Saskatchewan) (CABI 2015)",Exótica,Presente,,,,184959
Plantas,,Ammi majus,,"Espuma de mar, encaje, bishop's weed, lady's lace, large bullwort",Terrestre,"Eurasia (Villaseñor & Espinosa-García, 2004)","América, México (Chiapas, Estado de México, Morelos, Oaxaca, Veracruz, (Vibrans, 2009), Durango (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,171151
Plantas,,Ammi visnaga,,,Terrestre,"Viejo mundo (Villaseñor & Espinosa-García, 2004)","Baja California (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,192303
