idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
13743AVES,den_anabgw,poly_conabio_conabio_1p,"-97.263229,16.03136,-86.743229,21.59136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=den_anabgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_anabgw.zip
5570AVES,dfu071dpgw,dp_01g,"-85.4922103881836,7.25347375869751,-77.3022079467773,14.0934743881226",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dfu071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dfu071dpgw.zip
13744AVES,dho071dpgw,dp_01g,"-96.6198196411133,7.21037673950195,-77.6498107910156,21.600378036499",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dho071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dho071dpgw.zip
13744AVES,dend_homogw,poly_conabio_conabio_1p,"-96.953229,14.71136,-86.743229,21.59136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_homogw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_homogw.zip
13745AVES,dpi071dpgw,dp_01g,"-93.2962646484375,8.40041065216064,-80.6062545776367,17.4304122924805",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dpi071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dpi071dpgw.zip
13745AVES,dend_picugw,poly_conabio_conabio_1p,"-93.833229,15.15136,-90.633229,17.36136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_picugw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_picugw.zip
13746AVES,dsa071dpgw,dp_01g,"-100.136215209961,7.22589349746704,-77.1962051391602,21.3258953094482",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dsa071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dsa071dpgw.zip
13746AVES,dend_sancgw,poly_conabio_conabio_1p,"-99.953229,14.71136,-86.743229,21.38136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_sancgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_sancgw.zip
13281AVES,dend_autugw,poly_conabio_conabio_1p,"-116.703229,14.56136,-86.743229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_autugw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_autugw.zip
13281AVES,dauh006dpgw,dp_01g,"-118.407418,14.547183,-86.717418,32.717183",2013,Ramírez-Bastida y Navarro-Sigüenza,http://geoportal.conabio.gob.mx/#!l=dauh006dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dauh006dpgw.zip
13282AVES,dend_bicogw,poly_conabio_conabio_1p,"-117.093229,14.56136,-86.743229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_bicogw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_bicogw.zip
13282AVES,dbih006dpgw,dp_01g,"-118.407418,14.547183,-86.717418,32.717183",2013,Ramírez-Bastida y Navarro-Sigüenza,http://geoportal.conabio.gob.mx/#!l=dbih006dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dbih006dpgw.zip
14324AVES,dend_caergw,poly_conabio_conabio_1p,"-97.353229,14.56136,-86.743229,21.60136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_caergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_caergw.zip
14324AVES,dencae_invgw,poly_conabio_conabio_1p,"-96.519069,16.139586,-66.319069,30.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dencae_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dencae_invgw.zip
14324AVES,dencae_vergw,poly_conabio_conabio_1p,"-105.519069,34.739586,-59.919069,54.939586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dencae_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dencae_vergw.zip
14325AVES,dend_castgw,poly_conabio_conabio_1p,"-99.513229,16.07136,-86.743229,23.87136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_castgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_castgw.zip
14326AVES,dend_cerugw,poly_conabio_conabio_1p,"-99.533229,15.96136,-86.743229,26.86136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_cerugw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_cerugw.zip
14327AVES,dend_coro_wgw,poly_conabio_conabio_1p,"-117.123229,14.56136,-86.743229,32.66136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_coro_wgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_coro_wgw.zip
14327AVES,dencor_invgw,poly_conabio_conabio_1p,"-124.219069,8.539586,-65.919069,50.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dencor_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dencor_invgw.zip
14327AVES,dend_coro_sgw,poly_conabio_conabio_1p,"-115.663229,14.57136,-92.073229,32.49136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_coro_sgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_coro_sgw.zip
14327AVES,dencor_vergw,poly_conabio_conabio_1p,"-159.719069,41.539586,-52.619069,67.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dencor_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dencor_vergw.zip
14327AVES,den_cogw,aves_ce007,"-117.120879,14.530838,-86.710879,32.620838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=den_cogw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_cogw.zip
14328AVES,dend_chrygw,poly_conabio_conabio_1p,"-94.883229,15.11136,-91.033229,17.38136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_chrygw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_chrygw.zip
14329AVES,dend_discgw,poly_conabio_conabio_1p,"-97.033229,16.07136,-86.743229,21.61136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_discgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_discgw.zip
14329AVES,dendis_invgw,poly_conabio_conabio_1p,"-105.619069,12.039586,-59.419069,37.339586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dendis_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dendis_invgw.zip
14329AVES,dendis_vergw,poly_conabio_conabio_1p,"-99.719069,25.139586,-69.419069,45.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dendis_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dendis_vergw.zip
14330AVES,dend_domigw,poly_conabio_conabio_1p,"-106.703229,14.56136,-86.743229,25.52136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_domigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_domigw.zip
14330AVES,dendom_invgw,poly_conabio_conabio_1p,"-102.119069,11.939586,-65.619069,35.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dendom_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dendom_invgw.zip
14330AVES,dendom_vergw,poly_conabio_conabio_1p,"-101.219069,26.339586,-74.519069,44.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dendom_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dendom_vergw.zip
14331AVES,dend_fuscgw,poly_conabio_conabio_1p,"-100.213229,14.58136,-86.743229,23.81136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_fuscgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_fuscgw.zip
14332AVES,dend_gracgw,poly_conabio_conabio_1p,"-109.963229,15.08136,-90.713229,29.53136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_gracgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_gracgw.zip
14332AVES,dengra_invgw,poly_conabio_conabio_1p,"-109.519069,15.539586,-91.719069,29.839586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dengra_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dengra_invgw.zip
14332AVES,dengra_vergw,poly_conabio_conabio_1p,"-118.019069,12.239586,-85.419069,40.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dengra_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dengra_vergw.zip
14332AVES,den_grgw,aves_ce007,"-109.510879,15.650838,-91.840879,28.680838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=den_grgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_grgw.zip
14333AVES,dend_magngw,poly_conabio_conabio_1p,"-105.673229,14.71136,-86.743229,25.55136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_magngw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_magngw.zip
14333AVES,denmag_invgw,poly_conabio_conabio_1p,"-99.819069,7.739586,-59.419069,27.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denmag_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denmag_invgw.zip
14333AVES,denmag_vergw,poly_conabio_conabio_1p,"-138.819069,35.639586,-52.619069,65.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denmag_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denmag_vergw.zip
14334AVES,dend_nigrgw,poly_conabio_conabio_1p,"-117.103229,15.67136,-94.153229,32.63136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_nigrgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_nigrgw.zip
14334AVES,dennig_invgw,poly_conabio_conabio_1p,"-120.619069,17.039586,-94.219069,35.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dennig_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dennig_invgw.zip
14334AVES,dennig_vergw,poly_conabio_conabio_1p,"-127.919069,29.439586,-103.519069,53.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dennig_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dennig_vergw.zip
14335AVES,dend_occigw,poly_conabio_conabio_1p,"-117.103229,14.57136,-86.763229,32.57136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_occigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_occigw.zip
14335AVES,denocc_invgw,poly_conabio_conabio_1p,"-109.419069,14.039586,-87.019069,27.739586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denocc_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denocc_invgw.zip
14335AVES,denocc_vergw,poly_conabio_conabio_1p,"-124.519069,35.539586,-115.819069,48.939586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denocc_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denocc_vergw.zip
14335AVES,den_ocgw,aves_ce007,"-116.750879,15.440838,-91.770879,32.340838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=den_ocgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_ocgw.zip
14336AVES,dend_palmgw,poly_conabio_conabio_1p,"-117.103229,14.56136,-86.743229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_palmgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_palmgw.zip
14336AVES,denpal_invgw,poly_conabio_conabio_1p,"-117.019069,12.439586,-64.319069,39.839586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpal_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpal_invgw.zip
14336AVES,denpal_vergw,poly_conabio_conabio_1p,"-129.019069,43.039586,-52.719069,65.739586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpal_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpal_vergw.zip
14337AVES,dend_penngw,poly_conabio_conabio_1p,"-99.863229,14.71136,-86.743229,23.87136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_penngw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_penngw.zip
14337AVES,denpen_invgw,poly_conabio_conabio_1p,"-98.319069,8.239586,-79.319069,18.839586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpen_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpen_invgw.zip
14337AVES,denpen_vergw,poly_conabio_conabio_1p,"-128.319069,35.039586,-57.719069,59.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpen_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpen_vergw.zip
14338AVES,dend_pete_wgw,poly_conabio_conabio_1p,"-117.123229,14.56136,-86.743229,32.72136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_pete_wgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_pete_wgw.zip
14338AVES,denpet_invgw,poly_conabio_conabio_1p,"-120.619069,7.239586,-77.219069,35.039586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpet_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpet_invgw.zip
14338AVES,denpet_vergw,poly_conabio_conabio_1p,"-166.019069,14.539586,-52.619069,67.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpet_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpet_vergw.zip
14338AVES,den_pegw,aves_ce007,"-117.120879,14.530838,-86.710879,32.680838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=den_pegw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_pegw.zip
14339AVES,dend_pinu_wgw,poly_conabio_conabio_1p,"-99.503229,21.28136,-97.713229,24.33136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_pinu_wgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_pinu_wgw.zip
14339AVES,denpin_invgw,poly_conabio_conabio_1p,"-100.819069,21.939586,-69.919069,45.639586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpin_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpin_invgw.zip
14339AVES,denpin_vergw,poly_conabio_conabio_1p,"-98.819069,25.139586,-65.419069,51.639586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denpin_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denpin_vergw.zip
14340AVES,dend_strigw,poly_conabio_conabio_1p,"-103.473229,17.82136,-86.743229,21.59136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_strigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_strigw.zip
14341AVES,dend_tigrgw,poly_conabio_conabio_1p,"-91.113229,17.82136,-86.743229,21.59136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_tigrgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_tigrgw.zip
14341AVES,dentig_invgw,poly_conabio_conabio_1p,"-97.719069,8.239586,-79.219069,26.839586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dentig_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dentig_invgw.zip
14341AVES,dentig_vergw,poly_conabio_conabio_1p,"-127.219069,41.839586,-52.619069,63.839586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dentig_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dentig_vergw.zip
14342AVES,dend_towngw,poly_conabio_conabio_1p,"-117.103229,15.00136,-86.763229,32.62136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_towngw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_towngw.zip
14342AVES,dentow_invgw,poly_conabio_conabio_1p,"-124.619069,8.439586,-82.719069,48.939586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dentow_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dentow_invgw.zip
14342AVES,dentow_vergw,poly_conabio_conabio_1p,"-162.219069,41.339586,-108.419069,67.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=dentow_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dentow_vergw.zip
14342AVES,den_togw,aves_ce007,"-116.980879,14.870838,-89.750879,32.560838",2006,Gómez de Silva,http://geoportal.conabio.gob.mx/#!l=den_togw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/den_togw.zip
14343AVES,dend_viregw,poly_conabio_conabio_1p,"-116.683229,14.56136,-86.743229,31.86136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_viregw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_viregw.zip
14343AVES,denvir_invgw,poly_conabio_conabio_1p,"-105.619069,8.039586,-80.019069,30.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denvir_invgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denvir_invgw.zip
14343AVES,denvir_vergw,poly_conabio_conabio_1p,"-123.219069,32.539586,-52.719069,58.539586",2006,Peterson et al.,http://geoportal.conabio.gob.mx/#!l=denvir_vergw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/denvir_vergw.zip
26987ANGIO,dis_d_arbogw,arbol_trop,"-105.680489,14.840846,-86.799994,23.280463",2005,Pennington y Sarukhán,http://geoportal.conabio.gob.mx/#!l=dis_d_arbogw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dis_d_arbogw.zip
26991ANGIO,dpo052dpgw,dp_01g,"-96.9166666663061,15.5416666667301,-92.7083333329185,18.0000000000951",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=dpo052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dpo052dpgw.zip
3135AVES,dpic071dpgw,dp_01g,"-80.5722122192383,7.25347375869751,-77.3222045898438,9.28347492218018",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dpic071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dpic071dpgw.zip
13000ANFIB,dends_ebragw,poly_conabio_conabio_1p,"-96.967804,16.147627,-88.937805,19.357626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dends_ebragw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dends_ebragw.zip
13001ANFIB,dends_micrgw,poly_conabio_conabio_1p,"-98.237801,15.957626,-86.727806,21.547626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dends_micrgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dends_micrgw.zip
13002ANFIB,dends_robegw,poly_conabio_conabio_1p,"-94.8078,14.537626,-92.137802,16.577625",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dends_robegw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dends_robegw.zip
13003ANFIB,dends_sartgw,poly_conabio_conabio_1p,"-105.337807,15.667626,-96.1278,19.857626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dends_sartgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dends_sartgw.zip
13555AVES,dbar071dpgw,dp_01g,"-99.3271179199219,18.4918556213379,-96.4371109008789,21.6818580627441",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dbar071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dbar071dpgw.zip
13555AVES,dend_barbgw,poly_conabio_conabio_1p,"-99.563229,17.90136,-96.323229,23.06136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_barbgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_barbgw.zip
13556AVES,dle071dpgw,dp_01g,"-93.0156784057617,9.35168361663818,-83.4756698608398,15.9716854095459",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dle071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dle071dpgw.zip
13556AVES,dend_leucgw,poly_conabio_conabio_1p,"-92.953229,15.09136,-91.963229,16.07136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_leucgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_leucgw.zip
13557AVES,dma071dpgw,dp_01g,"-105.252899169922,15.8429927825928,-95.1228942871094,21.5429935455322",2018,Navarro-Sigüenza et al.,http://geoportal.conabio.gob.mx/#!l=dma071dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dma071dpgw.zip
13557AVES,dend_macr_2gw,poly_conabio_conabio_1p,"-105.403229,15.85136,-95.143229,21.00136",2007,Navarro y Peterson,http://geoportal.conabio.gob.mx/#!l=dend_macr_2gw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dend_macr_2gw.zip
31153ANGIO,dgra052dpgw,dp_01g,"-101.249999999695,8.70833333302901,-82.2083333327831,21.0416666665214",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=dgra052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dgra052dpgw.zip
31154ANGIO,dgu013dpgw,dp_01g,"-105.693855285645,17.3218078613281,-96.5103759765625,20.8871536254883",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=dgu013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dgu013dpgw.zip
31162ANGIO,dob013dpgw,dp_01g,"-101.444030761719,15.8998289108276,-86.7374954223633,20.7779483795166",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=dob013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dob013dpgw.zip
31163ANGIO,dpu013dpgw,dp_01g,"-105.253471374512,15.8962707519531,-94.7355499267578,25.7394390106201",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=dpu013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dpu013dpgw.zip
11212MAMIF,daz040dpgw,jm040_1,"-111.63961766051,7.214040236442,-77.65628242411,34.3557084230419",2020,Sánchez-Cordero et al.,http://geoportal.conabio.gob.mx/#!l=daz040dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/daz040dpgw.zip
11212MAMIF,deraztec_agw,mamiferos_ds006,"-106.207809448242,15.4876260757446,-90.7677993774414,24.4376277923584",2006,Ceballos et al.,http://geoportal.conabio.gob.mx/#!l=deraztec_agw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/deraztec_agw.zip
12212MAMIF,dph040dpgw,jm040_1,"-116.758358479932,12.9861832380659,-83.141689930732,32.7195176764659",2020,Sánchez-Cordero et al.,http://geoportal.conabio.gob.mx/#!l=dph040dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dph040dpgw.zip
12212MAMIF,derphaeo_agw,mamiferos_ds006,"-107.137809753418,14.5376253128052,-86.7277984619141,24.817626953125",2006,Ceballos et al.,http://geoportal.conabio.gob.mx/#!l=derphaeo_agw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/derphaeo_agw.zip
12426MAMIF,dto040dpgw,jm040_1,"-116.75317354978,12.9861832380661,-83.16150500198,36.052851196466",2020,Sánchez-Cordero et al.,http://geoportal.conabio.gob.mx/#!l=dto040dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dto040dpgw.zip
12426MAMIF,dertolte_agw,mamiferos_ds006,"-109.197807312012,14.5376253128052,-90.377799987793,26.7576274871826",2006,Ceballos et al.,http://geoportal.conabio.gob.mx/#!l=dertolte_agw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dertolte_agw.zip
12511MAMIF,dwa011dpgw,dp_01g,"-100.076377868652,-7.61508703231812,-72.8180541992188,24.5598983764648",2019,Lavariega y Briones-Salas,http://geoportal.conabio.gob.mx/#!l=dwa011dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dwa011dpgw.zip
12511MAMIF,dwa040dpgw,jm040_1,"-103.48849459107,14.5438110106169,-86.75516032067,24.4521448988169",2020,Sánchez-Cordero et al.,http://geoportal.conabio.gob.mx/#!l=dwa040dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dwa040dpgw.zip
12511MAMIF,derwatso_agw,mamiferos_ds006,"-96.7478103637695,16.0676250457764,-87.877799987793,19.4576263427734",2006,Ceballos et al.,http://geoportal.conabio.gob.mx/#!l=derwatso_agw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/derwatso_agw.zip
1028REPTI,dermoc_corigw,poly_conabio_conabio_1p,"-103.507805,18.077625,102.617805,18.387627",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dermoc_corigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dermoc_corigw.zip
12930ANFIB,dermop_mexigw,poly_conabio_conabio_1p,"-96.997803,14.557626,-91.147804,19.377626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dermop_mexigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dermop_mexigw.zip
12931ANFIB,doa022dpgw,dp_01v,"-117.124290466309,14.5412635803223,-86.7578811645508,32.7171096801758",2016,Ochoa-Ochoa y Flores-Villela,http://geoportal.conabio.gob.mx/#!l=doa022dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/doa022dpgw.zip
12931ANFIB,dermop_oaxagw,poly_conabio_conabio_1p,"-104.507805,15.187626,-92.367805,20.097626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=dermop_oaxagw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dermop_oaxagw.zip
15933MOLUS,dre_presentgw,invasoras,"-117.5,14.5340050259999,-86.708331727,32.7173393079177",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=dre_presentgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dre_presentgw.zip
15933MOLUS,dre_50r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=dre_50r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dre_50r45mdgw.zip
15933MOLUS,dre_50r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=dre_50r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dre_50r85mdgw.zip
15933MOLUS,dre_70r45mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=dre_70r45mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dre_70r45mdgw.zip
15933MOLUS,dre_70r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=dre_70r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dre_70r85mdgw.zip
