sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Abutilon grandidentatum",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","grandidentatum",,"36412ANGIO","especie","agr002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-86.7565994262695","JM002","2018","Dávila-Aranda et al."
"Abutilon theophrasti",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","theophrasti",,"74402ANGIO","especie","ath_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Abutilon theophrasti",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","theophrasti",,"74402ANGIO","especie","ath_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Abutilon theophrasti",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","theophrasti",,"74402ANGIO","especie","ath_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Abutilon theophrasti",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","theophrasti",,"74402ANGIO","especie","ath_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Abutilon theophrasti",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Abutilon","theophrasti",,"74402ANGIO","especie","ath_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Acacia californica pringlei",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","californica","pringlei","64473ANGIO","subespecie","dis_a_pringw","arbol_trop","minx=15.15083 miny=-99.050323 maxx=26.070359 maxy=-86.809989",,"2005","Pennington y Sarukhán"
"Acacia dolichostachya",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","dolichostachya",,"36033ANGIO","especie","dis_a_doligw","arbol_trop","minx=17.800708 miny=-93.840177 maxx=21.600543 maxy=-86.839992",,"2005","Pennington y Sarukhán"
"Acacia farnesiana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","farnesiana",,"19170ANGIO","especie","dis_a_farngw","arbol_trop","minx=15.15083 miny=-116.170815 maxx=32.230097 maxy=-86.809991",,"2005","Pennington y Sarukhán"
"Acacia melanoxylon",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","melanoxylon",,"77792ANGIO","especie","ame_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Acacia melanoxylon",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","melanoxylon",,"77792ANGIO","especie","ame_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
