sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Carpobrotus edulis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","edulis",,"76239ANGIO","especie","ced_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Carpobrotus edulis",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","edulis",,"76239ANGIO","especie","ced_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carpobrotus edulis",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","edulis",,"76239ANGIO","especie","ced_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carpobrotus edulis",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","edulis",,"76239ANGIO","especie","ced_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carpobrotus edulis",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","edulis",,"76239ANGIO","especie","ced_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carpodacus cassinii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","cassinii",,"13722AVES","especie","carcas_invgw","poly_conabio_conabio_1p","minx=21.939586 miny=-127.219069 maxx=53.539586 maxy=-100.219069","AE023","2006","Peterson et al."
"Carpodacus cassinii",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","cassinii",,"13722AVES","especie","carp_cassgw","poly_conabio_conabio_1p","minx=21.18136 miny=-116.243229 maxx=32.58136 maxy=-99.053229","CE015","2007","Navarro y Peterson"
"Carpodacus cassinii",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","cassinii",,"13722AVES","especie","carcas_vergw","poly_conabio_conabio_1p","minx=31.139586 miny=-123.119069 maxx=52.039586 maxy=-104.219069","AE023","2006","Peterson et al."
"Carpodacus mexicanus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","mexicanus",,"13723AVES","especie","carp_mexigw","poly_conabio_conabio_1p","minx=15.70136 miny=-117.123229 maxx=32.67136 maxy=-94.783229","CE015","2007","Navarro y Peterson"
"Carpodacus mexicanus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","mexicanus",,"13723AVES","especie","carmex_invgw","poly_conabio_conabio_1p","minx=16.039586 miny=-127.419069 maxx=53.539586 maxy=-59.819069","AE023","2006","Peterson et al."
"Carpodacus mexicanus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","mexicanus",,"13723AVES","especie","carmex_vergw","poly_conabio_conabio_1p","minx=15.939586 miny=-128.019069 maxx=53.139586 maxy=-63.319069","AE023","2006","Peterson et al."
"Carpodacus mexicanus",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","mexicanus",,"13723AVES","especie","car_megw","aves_ce007","minx=14.530838 miny=-117.120879 maxx=32.620838 maxy=-86.710879","CE007","2006","Gómez de Silva"
"Carpodacus purpureus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","purpureus",,"13724AVES","especie","carp_purpgw","poly_conabio_conabio_1p","minx=30.30136 miny=-117.123229 maxx=32.63136 maxy=-115.343229","CE015","2007","Navarro y Peterson"
"Carpodacus purpureus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","purpureus",,"13724AVES","especie","carpur_invgw","poly_conabio_conabio_1p","minx=28.539586 miny=-125.819069 maxx=53.739586 maxy=-52.619069","AE023","2006","Peterson et al."
"Carpodacus purpureus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carpodacus","purpureus",,"13724AVES","especie","carpur_vergw","poly_conabio_conabio_1p","minx=32.139586 miny=-138.519069 maxx=64.439586 maxy=-52.619069","AE023","2006","Peterson et al."
"Carpodectes antoniae",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Cotingidae","Carpodectes","antoniae",,"3131AVES","especie","cant071dpgw","dp_01g","minx=8.04037666320801 miny=-84.6722106933594 maxx=9.88037776947021 maxy=-82.3422012329102","JM071","2018","Navarro-Sigüenza et al."
"Carpodectes nitidus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Cotingidae","Carpodectes","nitidus",,"3131AVES","especie","cnit071dpgw","dp_01g","minx=9.18037605285645 miny=-89.4822082519531 maxx=16.020378112793 maxy=-82.3622055053711","JM071","2018","Navarro-Sigüenza et al."
"Carthamus lanatus",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Carthamus","lanatus",,"77989ANGIO","especie","cla_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carthamus lanatus",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Carthamus","lanatus",,"77989ANGIO","especie","cla_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Carthamus lanatus",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Carthamus","lanatus",,"77989ANGIO","especie","cla_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carthamus lanatus",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Carthamus","lanatus",,"77989ANGIO","especie","cla_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carthamus lanatus",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Carthamus","lanatus",,"77989ANGIO","especie","cla_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Carya palmeri",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Juglandaceae","Carya","palmeri",,"28530ANGIO","especie","cpal013dpgw","dp_01g","minx=19.7346115112305 miny=-105.262908935547 maxx=29.874195098877 maxy=-96.4132614135742","JM013","2015","Villaseñor et al."
"Caryothraustes poliogaster",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Caryothraustes","poliogaster",,"13596AVES","especie","cpo071dpgw","dp_01g","minx=8.35687255859375 miny=-97.0917816162109 maxx=19.0568733215332 maxy=-80.0217742919922","JM071","2018","Navarro-Sigüenza et al."
"Caryothraustes poliogaster",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Caryothraustes","poliogaster",,"13596AVES","especie","cary_poligw","poly_conabio_conabio_1p","minx=16.04136 miny=-97.203229 maxx=19.08136 maxy=-88.293229","CE015","2007","Navarro y Peterson"
"Cascabela pinifolia",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Cascabela","pinifolia",,"26753ANGIO","especie","cpi002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-86.7565994262695","JM002","2018","Dávila-Aranda et al."
"Cascabela thevetioides",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Cascabela","thevetioides",,"26755ANGIO","especie","cth002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-90.3647842407227","JM002","2018","Dávila-Aranda et al."
"Casearia tremula",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Malpighiales","Salicaceae","Casearia","tremula",,"28249ANGIO","especie","dis_c_tremgw","arbol_trop","minx=15.680802 miny=-105.680489 maxx=20.760555 maxy=-93.360163",,"2005","Pennington y Sarukhán"
"Casimiroa edulis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Sapindales","Rutaceae","Casimiroa","edulis",,"35116ANGIO","especie","dis_c_edulgw","arbol_trop","minx=15.960792 miny=-110.000628 maxx=28.160249 maxy=-90.400087",,"2005","Pennington y Sarukhán"
"Casimiroa pubescens",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Sapindales","Rutaceae","Casimiroa","pubescens",,"75877ANGIO","especie","cpu002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-90.3647842407227","JM002","2018","Dávila-Aranda et al."
"Cassiculus melanicterus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Cassiculus","melanicterus",,"19876AVES","especie","cmel071dpgw","dp_01g","minx=13.5298919677734 miny=-110.656700134277 maxx=29.4398937225342 maxy=-89.6266937255859","JM071","2018","Navarro-Sigüenza et al."
"Castela retusa",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Sapindales","Simaroubaceae","Castela","retusa",,"31614ANGIO","especie","cre002dpgw","dp_01g","minx=14.0033273696899 miny=-97.8600006103516 maxx=22.6446495056152 maxy=-86.4771194458008","JM002","2018","Dávila-Aranda et al."
"Castilla elastica",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Rosales","Moraceae","Castilla","elastica",,"29814ANGIO","especie","dis_c_elasgw","arbol_trop","minx=14.640855 miny=-103.680432 maxx=23.000477 maxy=-86.799991",,"2005","Pennington y Sarukhán"
"Castilleja hirsuta",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Lamiales","Orobanchaceae","Castilleja","hirsuta",,"17710ANGIO","especie","chi013dpgw","dp_01g","minx=15.9841403961182 miny=-105.253242492676 maxx=25.7400436401367 maxy=-94.7355270385742","JM013","2015","Villaseñor et al."
"Castor canadensis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor","canadensis",,"11323MAMIF","especie","cca053dpgw","dp_01g","minx=24.3549137115479 miny=-116.254043579102 maxx=32.721248626709 maxy=-97.1464614868164","JM053","2016","Ballesteros-Barrera et al."
"Castor canadensis",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor","canadensis",,"11323MAMIF","especie","cascanad_agw","mamiferos_ds006","minx=24.1876258850098 miny=-115.377807617188 maxx=32.7176284790039 maxy=-97.1477966308594","DS006","2006","Ceballos et al."
"Casuarina cunninghamiana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","cunninghamiana",,"58095ANGIO","especie","ccu_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Casuarina cunninghamiana",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","cunninghamiana",,"58095ANGIO","especie","ccu_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Casuarina cunninghamiana",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","cunninghamiana",,"58095ANGIO","especie","ccu_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Casuarina cunninghamiana",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","cunninghamiana",,"58095ANGIO","especie","ccu_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Casuarina cunninghamiana",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Fagales","Casuarinaceae","Casuarina","cunninghamiana",,"58095ANGIO","especie","ccu_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Catasetum integerrimum",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Catasetum","integerrimum",,"20616ANGIO","especie","cin061dpgw","dp_01v","minx=9.76408576965332 miny=-103.224578857422 maxx=24.5057544708252 maxy=-83.23291015625","JM061","2015","Damon y Bertolini"
"Catharanthus roseus",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Catharanthus","roseus",,"26949ANGIO","especie","cro_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Catharanthus roseus",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Catharanthus","roseus",,"26949ANGIO","especie","cro_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Catharanthus roseus",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Catharanthus","roseus",,"26949ANGIO","especie","cro_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Catharanthus roseus",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Catharanthus","roseus",,"26949ANGIO","especie","cro_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Catharanthus roseus",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Catharanthus","roseus",,"26949ANGIO","especie","cro_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Cathartes aura",1.0000000000000000e+00,"Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","aura",,"13246AVES","especie","caur071dpgw","dp_01g","minx=7.21347379684448 miny=-123.202209472656 maxx=39.9534759521484 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Cathartes aura",2.0000000000000000e+00,"Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","aura",,"13246AVES","especie","cath_auragw","poly_conabio_conabio_1p","minx=14.56136 miny=-117.123229 maxx=32.72136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Cathartes aura",3.0000000000000000e+00,"Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","aura",,"13246AVES","especie","cat_augw","aves_ce007","minx=14.530838 miny=-117.120879 maxx=32.710838 maxy=-86.710879","CE007","2006","Gómez de Silva"
"Cathartes burrovianus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","burrovianus",,"13247AVES","especie","cath_burrgw","poly_conabio_conabio_1p","minx=14.56136 miny=-100.553229 maxx=23.02136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Catharus aurantiirostris",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","aurantiirostris",,"13985AVES","especie","caui071dpgw","dp_01g","minx=7.26507997512817 miny=-110.815238952637 maxx=30.0900821685791 maxy=-80.5735702514648","JM071","2018","Navarro-Sigüenza et al."
"Catharus aurantiirostris",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","aurantiirostris",,"13985AVES","especie","cath_aurantgw","poly_conabio_conabio_1p","minx=14.87136 miny=-109.963229 maxx=29.18136 maxy=-91.653229","CE015","2007","Navarro y Peterson"
"Catharus dryas",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","dryas",,"13986AVES","especie","cdr071dpgw","dp_01g","minx=13.5361127853394 miny=-94.3602981567383 maxx=17.3761138916016 maxy=-86.790283203125","JM071","2018","Navarro-Sigüenza et al."
"Catharus dryas",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","dryas",,"13986AVES","especie","cath_dryagw","poly_conabio_conabio_1p","minx=14.82136 miny=-94.573229 maxx=17.44136 maxy=-90.403229","CE015","2007","Navarro y Peterson"
"Catharus frantzii",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","frantzii",,"13987AVES","especie","cfr071dpgw","dp_01g","minx=8.67888355255127 miny=-105.056488037109 maxx=21.6188850402832 maxy=-82.2164840698242","JM071","2018","Navarro-Sigüenza et al."
"Catharus frantzii",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","frantzii",,"13987AVES","especie","cath_frangw","poly_conabio_conabio_1p","minx=14.87136 miny=-104.963229 maxx=22.07136 maxy=-91.093229","CE015","2007","Navarro y Peterson"
"Catharus fuscater",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","fuscater",,"5674AVES","especie","cfus071dpgw","dp_01g","minx=7.50347375869751 miny=-85.5522155761719 maxx=11.0534744262695 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Catharus fuscescens",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","fuscescens",,"13988AVES","especie","cath_fuscgw","poly_conabio_conabio_1p","minx=14.71136 miny=-97.263229 maxx=21.38136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Catharus gracilirostris",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","gracilirostris",,"5674AVES","especie","cgr071dpgw","dp_01g","minx=8.29037666320801 miny=-84.9522094726562 maxx=10.5003776550293 maxy=-81.4922027587891","JM071","2018","Navarro-Sigüenza et al."
"Catharus guttatus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","guttatus",,"13989AVES","especie","cgui071dpgw","dp_01g","minx=13.3267202377319 miny=-126.938529968262 maxx=50.5267219543457 maxy=-69.9185256958008","JM071","2018","Navarro-Sigüenza et al."
"Catharus guttatus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","guttatus",,"13989AVES","especie","cath_guttgw","poly_conabio_conabio_1p","minx=14.57136 miny=-117.123229 maxx=32.63136 maxy=-86.753229","CE015","2007","Navarro y Peterson"
"Catharus guttatus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","guttatus",,"13989AVES","especie","catgut_invgw","poly_conabio_conabio_1p","minx=14.539586 miny=-124.619069 maxx=52.539586 maxy=-68.219069","AE023","2006","Peterson et al."
"Catharus guttatus",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","guttatus",,"13989AVES","especie","catgut_vergw","poly_conabio_conabio_1p","minx=32.039586 miny=-164.719069 maxx=67.839586 maxy=-52.619069","AE023","2006","Peterson et al."
"Catharus guttatus",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","guttatus",,"13989AVES","especie","cat_gugw","aves_ce007","minx=15.490838 miny=-116.290879 maxx=32.280838 maxy=-91.680879","CE007","2006","Gómez de Silva"
"Catharus mexicanus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","mexicanus",,"13990AVES","especie","cmx071dpgw","dp_01g","minx=8.5155029296875 miny=-99.7881088256836 maxx=24.2055034637451 maxy=-80.8281021118164","JM071","2018","Navarro-Sigüenza et al."
"Catharus mexicanus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","mexicanus",,"13990AVES","especie","cath_mexigw","poly_conabio_conabio_1p","minx=15.67136 miny=-117.123229 maxx=32.63136 maxy=-92.573229","CE015","2007","Navarro y Peterson"
"Catharus minimus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","minimus",,"13991AVES","especie","cmii071dpgw","dp_01g","minx=7.2151403427124 miny=-85.5319061279297 maxx=11.9818086624146 maxy=-77.1985702514648","JM071","2018","Navarro-Sigüenza et al."
"Catharus minimus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","minimus",,"13991AVES","especie","cath_minigw","poly_conabio_conabio_1p","minx=16.69136 miny=-97.163229 maxx=21.60136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Catharus occidentalis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","occidentalis",,"13992AVES","especie","cocc071dpgw","dp_01g","minx=15.6464643478394 miny=-109.592781066895 maxx=29.5464668273926 maxy=-93.2927780151367","JM071","2018","Navarro-Sigüenza et al."
"Catharus occidentalis",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","occidentalis",,"13992AVES","especie","cath_occigw","poly_conabio_conabio_1p","minx=15.80136 miny=-109.473229 maxx=29.04136 maxy=-94.743229","CE015","2007","Navarro y Peterson"
"Catharus occidentalis",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","occidentalis",,"13992AVES","especie","cat_ocgw","aves_ce007","minx=16.069537 miny=-109.073212 maxx=28.409537 maxy=-95.473212","CE007","2006","Gómez de Silva"
"Catharus ustulatus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","ustulatus",,"13993AVES","especie","cusi071dpgw","dp_01g","minx=7.20367860794067 miny=-107.357444763184 maxx=26.7536811828613 maxy=-77.199104309082","JM071","2018","Navarro-Sigüenza et al."
"Catharus ustulatus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","ustulatus",,"13993AVES","especie","cath_ustugw","poly_conabio_conabio_1p","minx=14.56136 miny=-106.623229 maxx=23.89136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Catharus ustulatus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","ustulatus",,"13993AVES","especie","catust_invgw","poly_conabio_conabio_1p","minx=8.039586 miny=-105.719069 maxx=23.539586 maxy=-80.719069","AE023","2006","Peterson et al."
"Catharus ustulatus",4.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","ustulatus",,"13993AVES","especie","catust_vergw","poly_conabio_conabio_1p","minx=32.439586 miny=-166.019069 maxx=69.539586 maxy=-52.619069","AE023","2006","Peterson et al."
"Catharus ustulatus",5.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","ustulatus",,"13993AVES","especie","cat_usgw","aves_ce007","minx=14.530838 miny=-117.120879 maxx=32.490838 maxy=-86.710879","CE007","2006","Gómez de Silva"
"Catherpes mexicanus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Catherpes","mexicanus",,"13962AVES","especie","cmex071dpgw","dp_01g","minx=15.8331289291382 miny=-116.709899902344 maxx=32.5631332397461 maxy=-92.8798904418945","JM071","2018","Navarro-Sigüenza et al."
"Catherpes mexicanus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Catherpes","mexicanus",,"13962AVES","especie","cathar_mexigw","poly_conabio_conabio_1p","minx=15.68136 miny=-100.213229 maxx=26.30136 maxy=-90.383229","CE015","2007","Navarro y Peterson"
"Catherpes mexicanus",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Catherpes","mexicanus",,"13962AVES","especie","cat_megw","aves_ce007","minx=15.430838 miny=-117.120879 maxx=32.610838 maxy=-87.910879","CE007","2006","Gómez de Silva"
"Catopsis compacta",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Catopsis","compacta",,"20629ANGIO","especie","cco008dpgw","dp_01v","minx=15.8607120513916 miny=-103.829345703125 maxx=19.8862133026123 maxy=-94.9898376464844","JM008","2017","Espejo-Serna et al."
"Catopsis occulta",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Catopsis","occulta",,"230370ANGIO","especie","coc008dpgw","dp_01v","minx=15.1799898147583 miny=-103.693145751953 maxx=19.5208911895752 maxy=-90.3716430664062","JM008","2017","Espejo-Serna et al."
"Catopsis paniculata",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Catopsis","paniculata",,"20644ANGIO","especie","cpa008dpgw","dp_01v","minx=15.8607120513916 miny=-103.829345703125 maxx=20.2016143798828 maxy=-93.9440383911133","JM008","2017","Espejo-Serna et al."
"Catopsis pendula",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Catopsis","pendula",,"20645ANGIO","especie","cpe008dpgw","dp_01v","minx=15.9403486251831 miny=-106.365127563477 maxx=24.3482494354248 maxy=-96.5296173095703","JM008","2017","Espejo-Serna et al."
"Catopsis wawranea",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Catopsis","wawranea",,"20656ANGIO","especie","cwa008dpgw","dp_01v","minx=15.1716890335083 miny=-100.166748046875 maxx=20.5251903533936 maxy=-88.4139404296875","JM008","2017","Espejo-Serna et al."
"Caularthron bilamellatum",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Caularthron","bilamellatum",,"20675ANGIO","especie","cbi061dpgw","dp_01v","minx=-0.101160980761051 miny=-97.163459777832 maxx=19.132173538208 maxy=-60.6467819213867","JM061","2015","Damon y Bertolini"
"Cayaponia attenuata",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Cayaponia","attenuata",,"18080ANGIO","especie","cat003dpgw","dp_01g","minx=14.0999994277954 miny=-109.770004272461 maxx=27.0411491394043 maxy=-86.3376007080078","JM003","2018","Lira-Saade et al."
"Cayaponia racemosa",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Cucurbitaceae","Cayaponia","racemosa",,"18082ANGIO","especie","cra003dpgw","dp_01g","minx=14.0007495880127 miny=-117.12336730957 maxx=32.575008392334 maxy=-86.7162475585938","JM003","2018","Lira-Saade et al."
"Cecropia obtusifolia",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Rosales","Urticaceae","Cecropia","obtusifolia",,"27585ANGIO","especie","dis_c_obtugw","arbol_trop","minx=14.550859 miny=-107.530552 maxx=25.190365 maxy=-90.370087",,"2005","Pennington y Sarukhán"
